Location_ID,lon,lat,Vehicle_Type,Owner_Type,Body_Style,h6,h7,h8
Local_Freight_Other_Cargo Van_0000594,-76.788564,37.376352,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b61ffffff,88f042b6cdfffff
Local_Freight_Other_Cargo Van_0000595,-77.511004,37.376454,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000596,-77.510137,37.376498,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000597,-77.511442,37.376548,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000598,-77.508666,37.376838,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000599,-77.511553,37.37732,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000600,-77.512909,37.377773,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000601,-77.515161,37.379391,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000602,-77.422898,37.379478,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000603,-76.805181,37.381611,Local Freight,Other,Cargo Van,86f042b67ffffff,87f040792ffffff,88f0407925fffff
Local_Freight_Other_Cargo Van_0000604,-77.453565,37.38179,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c12dfffff
Local_Freight_Other_Cargo Van_0000605,-77.422185,37.382326,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000606,-77.422641,37.382703,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000607,-77.516061,37.383124,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000608,-76.792375,37.383668,Local Freight,Other,Cargo Van,86f042b67ffffff,87f042b61ffffff,88f042b61bfffff
Local_Freight_Other_Cargo Van_0000609,-77.423453,37.383872,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000610,-76.79295,37.383942,Local Freight,Other,Cargo Van,86f042b67ffffff,87f042b61ffffff,88f042b61bfffff
Local_Freight_Other_Cargo Van_0000611,-77.515956,37.383977,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000612,-77.516811,37.38424,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000613,-77.450768,37.384368,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c12dfffff
Local_Freight_Other_Cargo Van_0000614,-77.452712,37.384649,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c12dfffff
Local_Freight_Other_Cargo Van_0000615,-77.494154,37.384985,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d89dfffff
Local_Freight_Other_Cargo Van_0000616,-76.80289,37.385041,Local Freight,Other,Cargo Van,86f042b67ffffff,87f040792ffffff,88f0407925fffff
Local_Freight_Other_Cargo Van_0000617,-76.790115,37.386106,Local Freight,Other,Cargo Van,86f042b67ffffff,87f042b61ffffff,88f042b61bfffff
Local_Freight_Other_Cargo Van_0000618,-76.805818,37.386472,Local Freight,Other,Cargo Van,86f042b67ffffff,87f040792ffffff,88f042b653fffff
Local_Freight_Other_Cargo Van_0000619,-77.517314,37.386509,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000620,-77.424247,37.386623,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000621,-77.424114,37.388227,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000622,-77.42562,37.388669,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000623,-77.784323,37.389203,Local Freight,Other,Cargo Van,86f044697ffffff,87f044696ffffff,88f0446961fffff
Local_Freight_Other_Cargo Van_0000624,-76.77266,37.390416,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b6effffff,88f042b6ebfffff
Local_Freight_Other_Cargo Van_0000625,-77.729329,37.390691,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a68dfffff
Local_Freight_Other_Cargo Van_0000626,-77.428068,37.391002,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000627,-77.428187,37.391224,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000628,-77.520278,37.391342,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000629,-77.721222,37.392484,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a681fffff
Local_Freight_Other_Cargo Van_0000630,-76.876678,37.392908,Local Freight,Other,Cargo Van,86f0404cfffffff,87f0404ccffffff,88f0404cc3fffff
Local_Freight_Other_Cargo Van_0000631,-77.422442,37.393206,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000632,-77.421562,37.393449,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000633,-77.719097,37.394014,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a681fffff
Local_Freight_Other_Cargo Van_0000634,-77.726787,37.394107,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a68dfffff
Local_Freight_Other_Cargo Van_0000635,-77.429963,37.39448,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000636,-77.4209,37.394889,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000637,-76.761617,37.395221,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b6effffff,88f042b6e3fffff
Local_Freight_Other_Cargo Van_0000638,-77.526395,37.395333,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040dabffffff,88f040dab7fffff
Local_Freight_Other_Cargo Van_0000639,-77.426074,37.396156,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000640,-77.521304,37.396157,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000641,-77.710651,37.396218,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a687fffff
Local_Freight_Other_Cargo Van_0000642,-77.707869,37.396794,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a687fffff
Local_Freight_Other_Cargo Van_0000643,-77.423029,37.396915,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000644,-77.710416,37.397278,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a687fffff
Local_Freight_Other_Cargo Van_0000645,-77.697364,37.397292,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a6b1fffff
Local_Freight_Other_Cargo Van_0000646,-77.706794,37.397551,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a6bdfffff
Local_Freight_Other_Cargo Van_0000647,-77.430753,37.397774,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000648,-77.431775,37.398062,Local Freight,Other,Cargo Van,86f040cafffffff,87f040ca1ffffff,88f040cacdfffff
Local_Freight_Other_Cargo Van_0000649,-77.423203,37.398684,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000650,-77.422072,37.398751,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000651,-77.521131,37.398859,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8ddfffff
Local_Freight_Other_Cargo Van_0000652,-77.524455,37.398953,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040dabffffff,88f040dab7fffff
Local_Freight_Other_Cargo Van_0000653,-77.704456,37.399185,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a6bdfffff
Local_Freight_Other_Cargo Van_0000654,-77.682489,37.399226,Local Freight,Other,Cargo Van,86f046a4fffffff,87f046a4dffffff,88f046a4ddfffff
Local_Freight_Other_Cargo Van_0000655,-77.423252,37.399458,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac5fffff
Local_Freight_Other_Cargo Van_0000656,-77.70838,37.399572,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a68ffffff,88f046a687fffff
Local_Freight_Other_Cargo Van_0000657,-77.707175,37.399743,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a6bdfffff
Local_Freight_Other_Cargo Van_0000658,-77.707725,37.399784,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a687fffff
Local_Freight_Other_Cargo Van_0000659,-77.576908,37.40001,Local Freight,Other,Cargo Van,86f040dafffffff,87f040dacffffff,88f040dac5fffff
Local_Freight_Other_Cargo Van_0000660,-77.70694,37.400041,Local Freight,Other,Cargo Van,86f046a6fffffff,87f046a6bffffff,88f046a6bdfffff
