,hour,power,Day,School_name,Lat,Lon
150,7,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
151,8,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
152,9,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
153,10,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
154,11,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
155,12,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
156,13,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
157,14,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
158,15,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
159,16,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
160,17,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
161,18,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
162,19,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
163,20,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
164,21,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
165,22,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
166,23,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
167,24,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
168,1,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
169,2,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
170,3,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
171,4,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
172,5,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
173,6,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
174,7,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
175,8,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
176,9,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
177,10,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
178,11,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
179,12,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
180,13,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
181,14,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
182,15,0,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
183,16,29.12,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
184,17,103.06,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
185,18,106.8,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
186,19,106.8,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
187,20,106.8,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
188,21,106.8,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
189,22,88.88,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
190,23,87.6,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
191,24,87.6,Mon,ALBERTA SMITH ELEM,37.3957294,-77.64216192
192,1,87.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
193,2,84.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
194,3,57.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
195,4,57.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
196,5,41.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
197,6,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
198,7,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
199,8,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
200,9,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
201,10,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
202,11,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
203,12,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
204,13,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
205,14,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
206,15,0,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
207,16,29.12,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
208,17,103.06,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
209,18,106.8,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
210,19,106.8,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
211,20,106.8,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
212,21,106.8,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
213,22,88.88,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
214,23,87.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
215,24,87.6,Tue,ALBERTA SMITH ELEM,37.3957294,-77.64216192
216,1,87.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
217,2,84.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
218,3,57.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
219,4,57.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
220,5,41.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
221,6,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
222,7,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
223,8,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
224,9,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
225,10,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
226,11,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
227,12,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
228,13,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
229,14,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
230,15,0,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
231,16,29.12,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
232,17,103.06,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
233,18,106.8,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
234,19,106.8,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
235,20,106.8,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
236,21,106.8,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
237,22,88.88,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
238,23,87.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
239,24,87.6,Wed,ALBERTA SMITH ELEM,37.3957294,-77.64216192
240,1,87.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
241,2,84.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
242,3,57.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
243,4,57.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
